Player,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints,PPM,FPPM,Suggested_FantasyPoints,Suggested_FantasyPoints_Rank
Aaron Gordon,11.7,32.5,6.2,2.4,0.5,0.7,1.3,12.7,26.1,0.39076923076923076,0.8030769230769231,26.063525262994162,80
Aaron Holiday,3.7,8.4,0.6,1.7,0.5,0.1,0.7,3.8,8.0,0.45238095238095233,0.9523809523809523,8.167263373468574,269
Aaron Nesmith,10.0,9.2,1.8,0.2,0.2,0.2,0.2,2.0,5.4,0.2173913043478261,0.5869565217391305,5.457326156865948,312
Abdel Nader,4.0,7.0,1.0,0.0,0.2,0.4,0.0,1.0,3.8,0.14285714285714285,0.5428571428571428,4.005676802676276,346
Al Horford,15.7,32.9,7.9,2.9,0.7,1.4,0.9,8.6,28.0,0.2613981762917933,0.851063829787234,27.841190444736768,72
Alec Burks,4.5,24.7,4.4,2.2,0.2,0.4,0.8,12.2,22.0,0.4939271255060729,0.8906882591093118,21.81800467711848,114
Alex Caruso,10.3,24.3,2.1,2.5,0.9,0.8,1.0,6.2,16.5,0.2551440329218107,0.6790123456790124,16.566633862533465,158
Alex Len,6.0,8.0,2.6,0.2,0.1,0.2,0.6,3.4,7.1,0.425,0.8875,7.122997346468138,288
Alfonzo McKinnie,2.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.09999999999999999,0.6081823925645803,443
Alize Johnson,3.0,2.3,1.3,0.0,0.3,0.0,0.3,0.8,3.0,0.3478260869565218,1.3043478260869565,2.967948758356986,380
Amir Coffey,4.7,1.6,0.1,0.5,0.1,0.0,0.0,0.5,1.6,0.3125,1.0,1.678461152072239,420
Andre Drummond,4.5,18.0,7.0,0.4,1.0,0.7,1.8,6.4,18.8,0.35555555555555557,1.0444444444444445,18.682081893159456,142
Andre Iguodala,10.7,15.3,2.2,1.5,0.6,0.5,0.9,3.1,10.3,0.20261437908496732,0.673202614379085,10.380576797951697,242
Andre Roberson,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002209868188625164,449
Andrew Wiggins,17.5,34.4,6.6,1.8,0.9,1.1,1.4,16.6,31.9,0.4825581395348838,0.9273255813953488,31.82345894967061,54
Anfernee Simons,5.0,19.2,2.8,1.6,0.9,0.1,0.6,6.6,14.8,0.34375,0.7708333333333334,14.758501205319172,183
Anthony Davis,14.0,34.5,10.1,2.9,1.1,2.0,1.9,22.6,46.4,0.655072463768116,1.344927536231884,46.47572446610291,12
Anthony Edwards,5.5,38.8,4.6,4.1,1.5,1.6,2.0,28.4,47.3,0.731958762886598,1.2190721649484537,47.3911536033384,10
Anthony Gill,4.0,8.3,1.0,0.0,0.0,0.0,0.8,0.0,0.4,0.0,0.048192771084337345,0.40002029524470334,447
Anthony Lamb,6.0,5.2,1.0,0.0,0.2,0.2,0.3,0.8,2.9,0.15384615384615385,0.5576923076923077,2.89728154922907,381
Anthony Tolliver,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005409538924526116,452
Antonius Cleveland,2.0,4.5,0.5,0.0,0.5,0.0,0.0,2.0,4.1,0.4444444444444444,0.911111111111111,4.093048136395336,344
Armoni Brooks,4.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.6048201433663326,444
Austin Reaves,16.0,36.2,4.4,4.6,0.6,0.2,1.6,16.9,29.9,0.4668508287292817,0.8259668508287292,29.90737203561749,62
