Player,Pos,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints,PPM,FPPM,Suggested_FantasyPoints,Suggested_FantasyPoints_Rank
Luka Dončić,PG,9.3,37.6,9.2,8.5,1.4,0.5,4.6,32.8,57.7,0.872340426,1.534574468,57.70010472,1
Nikola Jokić,C,13.5,36.2,12,6.5,1.1,0.9,3.5,28.8,55.6,0.79558011,1.535911602,55.4615251,2
Kawhi Leonard,SF,8.7,39.5,7.8,5.3,2.1,0.7,2.6,31,54.3,0.784810127,1.374683544,54.10477032,3
Giannis Antetokounmpo,PF,11.2,34.1,13,5.7,0.7,1,3.9,28,53.3,0.82111437,1.563049853,53.36993793,4
LeBron James,PF,14.3,37.4,9.3,7.8,1.3,0.8,3.6,25.1,50.5,0.671122995,1.35026738,50.66398356,5
Kevin Durant,PF,9,42.3,7.9,5.4,1.1,1.1,4.1,29.9,50,0.706855792,1.182033097,50.00186272,6
De'Aaron Fox,PG,7,38.6,5.4,7.7,2.1,0.6,4,27.4,49.5,0.70984456,1.28238342,49.51732611,7
Jayson Tatum,SF,16.5,39.6,8.2,5.3,1.1,1.2,3.1,27.3,49,0.689393939,1.237373737,48.90139891,8
Ja Morant,PG,6.3,38.5,6.5,8.3,1.4,0.2,3.5,27.3,49,0.709090909,1.272727273,48.87061865,9
Anthony Edwards,SG,5.5,38.8,4.6,4.1,1.5,1.6,2,28.4,47.3,0.731958763,1.219072165,47.3911536,10
Joel Embiid,C,8.5,36.2,10.8,2.4,0.9,1.6,3.7,26.4,46.7,0.729281768,1.290055249,46.77047852,11
Anthony Davis,C,14,34.5,10.1,2.9,1.1,2,1.9,22.6,46.4,0.655072464,1.344927536,46.47572447,12
Dejounte Murray,SG,5,38,7.2,6.8,2,0.2,2,23,46.4,0.605263158,1.221052632,46.44327202,13
Stephen Curry,PG,17.5,36.3,5.2,6,1.2,0.4,2.9,29,46.1,0.798898072,1.269972452,46.1477229,14
Damian Lillard,PG,5,38.6,3.9,7.2,0.8,0.5,2.8,29.3,45.8,0.759067358,1.186528497,45.93140405,15
Nikola Vučević,C,5,36.6,11.7,3.6,0.6,0.9,2.1,23.7,45.5,0.647540984,1.243169399,45.58273442,16
Donovan Mitchell,SG,7,38,4.6,5.8,1.2,0.4,3.4,29.3,45.1,0.771052632,1.186842105,44.94275261,17
Jimmy Butler,PF,16,38.4,7,5.9,1.8,0.5,2.1,22.8,44.9,0.59375,1.169270833,44.84033386,18
Jamal Murray,PG,19.5,39.8,5.2,6.8,1.2,0.3,2.6,26.3,44.7,0.66080402,1.123115578,44.65231322,19
James Harden,PG,11,37.9,6,8.3,1.4,0.6,3.5,22.2,44.5,0.585751979,1.17414248,44.3568124,20
